event_id,title,date,venue,price,link,image_url
1991856794291,The USA to Lagos Artist Showcase and Networking Event,"The USA to Lagos Artist Showcase and Networking EventSat, Sep 5 •  5:00 PMLagos · KRISTAL LAGOSSave this event: The USA to Lagos Artist Showcase and Networking EventShare this event: The USA to Lagos Artist Showcase and Networking Event","Sat, Sep 5 •  5:00 PM",Lagos · KRISTAL LAGOS,https://www.eventbrite.com/e/the-usa-to-lagos-artist-showcase-and-networking-event-tickets-1991856794291,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186863866%2F2347743523913%2F1%2Foriginal.20260614-120106?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.509&fp-y=0.111&s=10cac7e7658f3ffdbf4562290a2f8780
761216086807,Lagos International Finance Expo 2028,"Lagos International Finance Expo 2028Fri, Nov 17 •  8:30 AMLagos · Landmark CentreSave this event: Lagos International Finance Expo 2028Share this event: Lagos International Finance Expo 2028","Fri, Nov 17 •  8:30 AM",Lagos · Landmark Centre,https://www.eventbrite.hk/e/lagos-international-finance-expo-2028-tickets-761216086807,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F643843359%2F700916941403%2F1%2Foriginal.20231117-154504?w=640&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C200%2C1228%2C614&s=391e9c82cbe9405800860b74ae64f927
768941062417,iFXShow Lagos 2026,"iFXShow Lagos 2026Fri, Nov 17 •  8:30 AMLagos · Landmark CentreSave this event: iFXShow Lagos 2026Share this event: iFXShow Lagos 2026","Fri, Nov 17 •  8:30 AM",Lagos · Landmark Centre,https://www.eventbrite.hk/e/ifxshow-lagos-2026-tickets-768941062417,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F701801579%2F700916941403%2F1%2Foriginal.20240221-070323?w=640&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C86%2C1024%2C512&s=f660ee279d8faa1b6ab783527c6e6f3d
1989928726388,AgriValue Nigeria Summit 2026: Feeding the Nation: Unlocking Nigeria’s Agro,"AgriValue Nigeria Summit 2026: Feeding the Nation: Unlocking Nigeria’s AgroThu, Oct 15 •  10:00 AMLagos · Lcci Conference And Exhibition CentreSave this event: AgriValue Nigeria Summit 2026: Feeding the Nation: Unlocking Nigeria’s AgroShare this event: AgriValue Nigeria Summit 2026: Feeding the Nation: Unlocking Nigeria’s Agro","Thu, Oct 15 •  10:00 AM",Lagos · Lcci Conference And Exhibition Centre,https://www.eventbrite.com/e/agrivalue-nigeria-summit-2026-feeding-the-nation-unlocking-nigerias-agro-tickets-1989928726388,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1187935573%2F2879877462171%2F1%2Foriginal.20260630-170004?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=9387e112249bd9d7769d2306e0429ade
1994688434804,SME Africa Summit Lagos 2026 (Founding Edition),"SME Africa Summit Lagos 2026 (Founding Edition)Sat, Oct 3 •  8:30 AMLagos · Ikeja, Lagos State, NGSave this event: SME Africa Summit Lagos 2026 (Founding Edition)Share this event: SME Africa Summit Lagos 2026 (Founding Edition)","Sat, Oct 3 •  8:30 AM","Lagos · Ikeja, Lagos State, NG",https://www.eventbrite.com/e/sme-africa-summit-lagos-2026-founding-edition-tickets-1994688434804,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1189312395%2F2208747162863%2F1%2Foriginal.20260721-153529?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.095&fp-y=0.562&s=8991d99d85bf28566b860752822576f2
1994143744621,CAPITAL AS A FORCE CONVENING (2026),"CAPITAL AS A FORCE CONVENING (2026)Thu, Sep 10 •  9:00 AMLagos · Nordic Hotel LagosSave this event: CAPITAL AS A FORCE CONVENING (2026)Share this event: CAPITAL AS A FORCE CONVENING (2026)","Thu, Sep 10 •  9:00 AM",Lagos · Nordic Hotel Lagos,https://www.eventbrite.com/e/capital-as-a-force-convening-2026-tickets-1994143744621,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1191192912%2F3008270099123%2F1%2Foriginal.20260816-191901?w=640&auto=format%2Ccompress&q=75&sharp=10&s=b40543676e25413ea0f5b48628160a03
1998636730262,Summer Celebration Fun Day 2026 | FREE Family Day in Lagos,Summer Celebration Fun Day 2026 | FREE Family Day in LagosToday • 12:00 PMLagos · Sigmabase apartmentsSave this event: Summer Celebration Fun Day 2026 | FREE Family Day in LagosShare this event: Summer Celebration Fun Day 2026 | FREE Family Day in Lagos,Today • 12:00 PM,Lagos · Sigmabase apartments,https://www.eventbrite.co.uk/e/summer-celebration-fun-day-2026-free-family-day-in-lagos-tickets-1998636730262,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1191654724%2F1675361678683%2F1%2Foriginal.20260822-130854?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.197&fp-y=0.368&s=f77c90e29e036fc3a45ea77f07a91b7b
1998017338645,The FEP Conference 2026,"The FEP Conference 2026Sat, Sep 19 •  10:00 AMAbuja · Nigerian National Merit Award (NNMA)HouseSave this event: The FEP Conference 2026Share this event: The FEP Conference 2026","Sat, Sep 19 •  10:00 AM",Abuja · Nigerian National Merit Award (NNMA)House,https://www.eventbrite.com/e/the-fep-conference-2026-tickets-1998017338645,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1192151505%2F2827913764811%2F1%2Foriginal.20260828-213310?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.509&fp-y=0.567&s=a256148779b88e4184219bca40b993aa
1996816279244,Move & Settle in the UK as a Talent Masterclass,"Move & Settle in the UK as a Talent MasterclassTue, Oct 27 •  10:00 AMLagos · Victoria IslandFrom £0.00eMigr8 Tech Visa118 followersSave this event: Move & Settle in the UK as a Talent MasterclassShare this event: Move & Settle in the UK as a Talent Masterclass","Tue, Oct 27 •  10:00 AM",Lagos · Victoria Island,https://www.eventbrite.com/e/move-settle-in-the-uk-as-a-talent-masterclass-tickets-1996816279244,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1190495697%2F2988832312447%2F1%2Foriginal.20260806-203413?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.431&fp-y=0.21&s=04426dac04e2be5bfd8b628c0f806d51
1985903121696,Inspire Africa Conference 2026,"Inspire Africa Conference 2026Wed, Oct 14 •  9:00 AMLagos · Eko Hotel And SuitesFrom $15.74Innovate Africa Foundation23 followersSave this event: Inspire Africa Conference 2026Share this event: Inspire Africa Conference 2026","Wed, Oct 14 •  9:00 AM",Lagos · Eko Hotel And Suites,https://www.eventbrite.com/e/inspire-africa-conference-2026-tickets-1985903121696,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180644927%2F2996393595501%2F1%2Foriginal.20260325-104513?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.492&fp-y=0.677&s=16146a1639eed82e0d51499320d03eb6
